Probabilities,Labels
tensor(0.0003),0
tensor(0.9974),0
tensor(0.9977),0
tensor(0.3582),0
tensor(3.7708e-06),0
tensor(0.0325),0
tensor(0.2287),0
tensor(0.0674),0
tensor(0.3716),0
tensor(0.0002),0
tensor(0.0014),0
tensor(0.0007),0
tensor(9.0510e-05),0
tensor(0.9645),0
tensor(9.2224e-07),0
tensor(0.0051),0
tensor(9.0825e-07),0
tensor(1.8938e-05),0
tensor(0.3411),0
tensor(0.8402),0
tensor(2.7385e-06),0
tensor(1.7523e-05),0
tensor(2.5256e-08),0
tensor(9.6693e-06),0
tensor(2.5179e-06),0
tensor(1.8796e-06),0
tensor(0.0011),0
tensor(0.0003),0
tensor(0.0008),0
tensor(0.9936),0
tensor(0.0132),0
tensor(0.0076),0
tensor(1.1516e-06),0
tensor(0.4101),0
tensor(0.0122),0
tensor(0.0258),0
tensor(0.0069),0
tensor(9.2688e-05),0
tensor(0.9829),0
tensor(0.5402),0
tensor(8.7687e-10),0
tensor(0.0007),0
tensor(0.9683),0
tensor(0.0023),0
tensor(0.1206),0
tensor(0.0001),0
tensor(0.0630),0
tensor(0.0002),0
tensor(0.5191),0
tensor(0.0003),0
tensor(0.2038),0
tensor(0.0077),0
tensor(9.7952e-07),0
tensor(0.0030),0
tensor(4.2949e-06),0
tensor(0.3763),0
tensor(0.0004),0
tensor(0.9992),0
tensor(2.0311e-05),0
tensor(0.0955),0
tensor(0.0900),0
tensor(0.8131),0
tensor(0.9965),0
tensor(2.0061e-05),0
tensor(0.9804),0
tensor(3.6626e-05),0
tensor(0.0004),0
tensor(0.7970),0
tensor(0.9980),0
tensor(2.5851e-05),0
tensor(0.5696),0
tensor(7.5025e-08),0
tensor(2.1544e-06),0
tensor(1.4728e-05),0
tensor(5.5901e-06),0
tensor(0.0168),0
tensor(0.0155),0
tensor(0.0003),0
tensor(4.3712e-05),0
tensor(0.4346),0
tensor(1.1285e-07),0
tensor(0.0116),0
tensor(1.1452e-05),0
tensor(0.0002),0
tensor(1.9664e-06),0
tensor(1.),0
tensor(0.2468),0
tensor(0.0979),0
tensor(3.7171e-05),0
tensor(0.0120),0
tensor(0.8952),0
tensor(0.0261),0
tensor(0.4085),0
tensor(0.9923),0
tensor(0.0006),0
tensor(0.0030),0
tensor(3.5149e-06),0
tensor(0.0001),0
tensor(1.9386e-05),0
tensor(0.9987),0
tensor(0.0003),0
tensor(2.4348e-06),0
tensor(0.9867),0
tensor(0.9973),0
tensor(0.9244),0
tensor(0.9727),0
tensor(2.8043e-05),0
tensor(0.0012),0
tensor(0.0002),0
tensor(7.1581e-10),0
tensor(0.0161),0
tensor(1.7863e-05),0
tensor(0.0013),0
tensor(1.7312e-06),0
tensor(0.9896),0
tensor(0.7299),0
tensor(4.0516e-05),0
tensor(2.5183e-05),0
tensor(9.6940e-05),0
tensor(0.0533),0
tensor(7.3681e-08),0
tensor(0.8663),0
tensor(0.7799),0
tensor(0.0245),0
tensor(0.0055),0
tensor(2.9170e-08),0
tensor(0.0032),0
tensor(2.3628e-08),0
tensor(2.1690e-07),0
tensor(0.9996),0
tensor(0.0194),0
tensor(1.3278e-06),0
tensor(4.7520e-06),0
tensor(0.0005),0
tensor(0.0208),0
tensor(2.8733e-06),0
tensor(2.3015e-05),0
tensor(0.9108),0
tensor(2.0666e-08),0
tensor(0.0027),0
tensor(0.5869),0
tensor(0.0039),0
tensor(0.0119),0
tensor(0.0244),0
tensor(0.0023),0
tensor(0.0411),0
tensor(3.0525e-08),0
tensor(3.1539e-05),0
tensor(1.2768e-06),0
tensor(0.0002),0
tensor(7.3839e-09),0
tensor(0.0070),0
